field_count,name,habitat,mon,year,sex,age,soil,slope,aspect,origarea,agescale,slopescale,aspectscale,origareascale
0,Romeo,Pasture,Apr,2010,male,5,AminSW,12.46,221.78,2.3504,0.444379672,5.527799931,53.85620825,-1.103882628
0,Romeo,Unknown,Apr,2010,male,5,AminSW,7.36,293.85,0.6919,0.444379672,0.427799931,125.9262083,-2.762382628
0,Romeo,Arable,Apr,2010,male,5,AminDW,8.53,230.28,6.3387,0.444379672,1.597799931,62.35620825,2.884417372
7,Ronnie,Pasture,Apr,2010,male,4,AminDP,3.58,127.96,2.1851,-0.555620328,-3.352200069,-39.96379175,-1.269182628
29,Ronnie,Pasture,Apr,2010,male,4,AminSP,8.02,157.49,5.6054,-0.555620328,1.087799931,-10.43379175,2.151117372
1,Ronnie,Pasture,Apr,2010,male,4,AminDP,5.11,109.94,1.8928,-0.555620328,-1.822200069,-57.98379175,-1.561482628
1,Ronnie,Pasture,Apr,2010,male,4,AminDP,3.37,158.44,2.1227,-0.555620328,-3.562200069,-9.483791747,-1.331582628
2,Ronnie,Pasture,Apr,2010,male,4,AminDP,5.54,163.38,1.8814,-0.555620328,-1.392200069,-4.543791747,-1.572882628
0,Ronnie,Pasture,Apr,2010,male,5,AminDP,10.7,314.53,0.349,0.444379672,3.767799931,146.6062083,-3.105282628
0,Ronnie,Pasture,Apr,2010,male,5,AminDP,4.7,223.19,1.281,0.444379672,-2.232200069,55.26620825,-2.173282628
0,Sheila,Pasture,Apr,2010,female,3,AminDP,5.23,149.51,2.611,-1.555620328,-1.702200069,-18.41379175,-0.843282628
0,Sheila,Pasture,Apr,2010,female,3,AminDP,4.08,206.29,2.1148,-1.555620328,-2.852200069,38.36620825,-1.339482628
1,Sheila,Pasture,Apr,2010,female,2,AminDW,7.99,79.95,5.1949,-2.555620328,1.057799931,-87.97379175,1.740617372
0,Sheila,Pasture,Apr,2010,female,3,AminDP,3.9,117.99,1.3118,-1.555620328,-3.032200069,-49.93379175,-2.142482628
1,Sheila,Uncultivated,Apr,2010,female,2,AminSP,7.32,180.16,3.4342,-2.555620328,0.387799931,12.23620825,-0.020082628
0,Sheila,Pasture,Apr,2010,female,3,AminDW,7.95,40.85,1.8067,-1.555620328,1.017799931,-127.0737917,-1.647582628
0,Sheila,Pasture,Apr,2010,female,3,AminSW,4.54,77.18,0.7622,-1.555620328,-2.392200069,-90.74379175,-2.692082628
0,Sheila,Pasture,Apr,2010,female,3,AminDW,8.6,79.17,2.7435,-1.555620328,1.667799931,-88.75379175,-0.710782628
0,Sheila,Human,Apr,2010,female,3,AminDP,9.02,270.31,1.3263,-1.555620328,2.087799931,102.3862083,-2.127982628
0,Sheila,Pasture,Apr,2010,female,3,AminDP,5.59,166.24,3.5363,-1.555620328,-1.342200069,-1.683791747,0.082017372
0,Sheila,Uncultivated,Apr,2010,female,3,AlluvMIN,2.97,140.65,0.2447,-1.555620328,-3.962200069,-27.27379175,-3.209582628
2,Sheila,Woodland,Apr,2010,female,2,AminSP,7.2,139.69,37.1236,-2.555620328,0.267799931,-28.23379175,33.66931737
0,Sheila,Pasture,Apr,2010,female,3,AminSP,8.86,82.95,8.5086,-1.555620328,1.927799931,-84.97379175,5.054317372
0,Sheila,Human,Apr,2010,female,3,AminDP,4,190.01,0.1783,-1.555620328,-2.932200069,22.08620825,-3.275982628
2,Sheila,Arable,Apr,2010,female,2,AminSP,3,168.75,1.094,-2.555620328,-3.932200069,0.826208253,-2.360282628
1,Tyson,Arable,Apr,2010,male,3,AminDW,7.43,202.75,15.9857,-1.555620328,0.497799931,34.82620825,12.53141737
