"y","a","b","c","d","e"
98,0,108,1,11752,2
120,0,109,1,1108,16
92,0,129,0,1109,16
92,0,127,0,9862,9
109,1,117,1,8951,6
112,0,123,1,2696,4
102,1,130,0,8437,11
120,0,111,0,9863,9
87,0,116,0,9416,1
112,1,131,0,543,5
98,0,112,0,3899,7
109,0,117,1,6224,3
92,0,122,0,4862,21
72,0,120,0,10384,10
98,1,108,0,145,15
98,0,109,0,9472,1
82,0,130,1,3926,7
82,0,123,1,8469,11
98,0,108,0,9473,1
120,0,115,1,7779,13
98,0,113,1,2655,4
98,1,110,0,11672,2
109,0,118,0,5544,20
82,NA,131,1,5546,20
109,0,117,1,1183,16
112,0,129,0,11538,2
120,0,108,0,4358,17
102,0,122,0,2708,4
131,1,110,1,3324,14
131,0,118,1,8464,11
98,0,113,1,1164,16
98,0,113,1,3370,14
112,0,121,0,118,15
98,1,108,1,6739,8
109,0,115,1,10385,10
102,0,126,0,5547,20
112,0,128,1,9864,9
120,0,108,0,7780,13
153,0,125,1,1110,16
102,0,124,0,3372,14
102,0,123,1,10386,10
82,0,131,0,1993,12
87,0,112,1,6501,3
109,0,110,1,8956,6
122,0,131,1,1184,16
87,0,110,0,3374,14
98,0,119,1,7233,19
109,1,108,1,9442,1
109,0,111,1,3900,7
109,0,118,1,9443,1
120,1,108,1,2774,4
87,0,109,1,120,15
98,0,110,1,544,5
120,1,108,1,8438,11
109,0,113,1,1111,16
105,0,132,1,2697,4
109,0,119,1,9899,9
98,0,118,0,11539,2
131,0,109,0,8911,6
102,0,125,1,10387,10
98,0,118,0,1994,12
87,0,113,1,121,15
120,1,116,1,11492,2
102,0,131,0,11493,2
92,0,129,1,3296,14
102,0,131,1,6226,3
131,0,110,1,1112,16
87,0,119,0,9444,1
109,0,111,1,7781,13
131,0,110,0,4321,17
120,0,114,1,11022,18
122,0,120,1,6759,8
102,0,120,0,6257,3
109,0,117,0,9900,9
98,0,119,0,2657,4
120,0,115,1,2658,4
102,0,130,0,7235,19
120,0,109,0,9865,9
102,0,126,0,5751,20
112,0,125,0,9866,9
109,0,111,0,9445,1
122,0,126,0,7782,13
102,0,126,1,6227,3
98,0,117,0,4863,21
109,0,108,1,545,5
120,0,108,1,8913,6
98,0,116,0,6760,8
131,0,112,0,1995,12
102,0,131,0,3376,14
112,0,124,1,1996,12
98,0,108,1,1113,16
98,1,108,0,8439,11
87,0,115,0,10388,10
122,0,121,0,5550,20
98,0,117,0,5752,20
82,0,120,0,152,15
120,0,119,0,4864,21
142,0,125,1,11023,18
131,0,118,1,546,5
102,0,120,1,3378,14
112,0,128,1,2659,4
102,0,123,1,3452,14
109,0,117,1,7237,19
120,0,110,1,7783,13
112,0,126,0,6545,3
98,0,117,1,905,16
92,1,131,1,32,15
109,0,114,1,11356,2
120,1,116,0,1883,12
112,0,130,0,3464,14
112,0,123,1,8806,6
153,1,129,0,4743,21
109,0,108,0,906,16
98,0,110,0,6085,3
77,1,118,0,5393,20
98,0,109,1,6086,3
109,1,108,0,3821,7
98,0,109,1,8333,11
120,0,109,1,9371,1
66,0,116,1,10245,10
142,0,124,0,8807,6
82,0,122,0,8334,11
96,1,131,0,6702,8
102,0,126,1,481,5
142,1,108,0,8808,6
120,0,109,1,7636,13
NA,0,111,0,9776,9
92,0,127,1,10947,18
92,0,129,1,10437,10
109,0,119,1,7637,13
98,0,111,1,6087,3
112,0,131,0,8810,6
120,0,113,0,7638,13
112,0,123,1,1884,12
98,0,118,1,907,16
112,0,125,1,908,16
112,0,131,1,7639,13
142,0,110,0,3822,7
82,0,124,0,6088,3
109,0,118,0,7091,19
82,0,121,1,5494,20
92,0,127,0,5395,20
77,0,116,1,1885,12
112,NA,126,1,11358,2
92,1,126,0,7093,19
102,0,126,1,4744,21
112,0,125,0,6089,3
102,0,122,0,34,15
102,0,131,0,8673,11
87,0,108,1,4745,21
120,0,108,1,909,16
98,1,118,1,4178,17
98,0,110,1,9372,1
122,1,127,1,4746,21
142,1,131,1,9777,9
109,0,109,1,10948,18
98,0,117,0,7640,13
98,0,115,1,5397,20
87,NA,116,0,3824,7
82,0,125,1,6090,3
98,0,112,0,4747,21
120,0,116,0,911,16
112,0,124,1,8354,11
122,0,131,1,9778,9
109,0,108,1,8811,6
92,1,122,0,2491,4
66,0,112,0,7095,19
109,0,110,1,7047,19
132,0,123,1,8337,11
153,0,120,0,8812,6
131,0,111,1,8813,6
98,0,112,0,6091,3
109,1,111,1,1886,12
109,0,117,0,6092,3
98,1,109,0,10247,10
112,0,129,0,2494,4
92,0,126,1,6093,3
87,1,108,1,35,15
92,0,121,1,3825,7
112,1,122,1,482,5
132,0,120,1,7096,19
112,0,127,0,8815,6
122,0,121,0,10950,18
82,0,120,1,8816,6
77,0,109,1,10248,10
92,0,126,1,8338,11
131,0,113,1,6703,1
82,0,126,1,483,5
98,0,113,0,7098,19
109,0,110,1,912,16
NA,0,118,1,10250,10
109,0,108,1,4748,21
92,0,122,0,3826,7
102,0,125,0,913,16
151,1,131,0,484,5
106,1,108,1,8340,11
109,0,119,0,11359,2
112,1,126,0,3580,14
120,0,130,1,4992,21
109,0,110,1,6704,8
102,0,128,0,10951,18
102,0,122,0,7641,13
77,0,119,1,10251,10
83,0,107,1,5398,20
92,NA,129,0,5399,20
120,0,110,0,914,16
98,0,108,0,4181,17
92,0,125,1,37,15
102,0,124,0,9779,9
131,0,111,0,9373,1
102,0,128,0,4179,17
102,0,120,1,5400,20
109,0,116,1,4750,21
120,0,109,1,486,5
109,0,116,0,11728,2
132,0,131,0,7100,19
112,0,120,0,3743,14
98,0,113,1,10252,10
82,1,121,0,5402,20
112,0,120,1,4751,21
87,0,117,1,5998,20
120,1,119,1,10952,18
132,0,124,0,9780,9
